ICAO,llegada_punto,salida_punto,despegue,tiempo_espera,aircraft_type,llegada_lon,llegada_lat,salida_lon,salida_lat,holding_point,parado,runway,fecha_despegue,hora_despegue
34750f,2024-11-07 05:52:38.101,2024-11-07 05:53:54.292,2024-11-07 05:55:32.402,174.301,Medium 2 (between 34000 kg to 136000 kg),-3.576141357421875,40.491737365722656,-3.5756440596147017,40.49197439420021,Z2,True,18R/36L,2024-11-07,5
34745a,2024-11-07 05:56:49.736,2024-11-07 05:56:58.160,2024-11-07 05:57:42.637,52.901,Medium 2 (between 34000 kg to 136000 kg),-3.576096621426669,40.491718356892214,-3.5756378173828125,40.491966247558594,Z2,False,18R/36L,2024-11-07,5
347481,2024-11-07 05:59:19.056,2024-11-07 05:59:26.873,2024-11-07 06:00:50.190,91.134,Medium 2 (between 34000 kg to 136000 kg),-3.576019287109375,40.49177169799805,-3.57562255859375,40.491966247558594,Z2,False,18R/36L,2024-11-07,6
347309,2024-11-07 06:02:35.223,2024-11-07 06:02:42.838,2024-11-07 06:03:52.408,77.185,Medium 2 (between 34000 kg to 136000 kg),-3.5760498046875,40.49177169799805,-3.5756284540349785,40.49196275614076,Z2,False,18R/36L,2024-11-07,6
347645,2024-11-07 06:07:53.915,2024-11-07 06:08:02.961,2024-11-07 06:08:40.627,46.712,Medium 2 (between 34000 kg to 136000 kg),-3.576096621426669,40.491741633011124,-3.5755462646484375,40.492000579833984,Z2,False,18R/36L,2024-11-07,6
347454,2024-11-07 06:08:37.927,2024-11-07 06:08:43.948,2024-11-07 06:09:21.334,43.407,Medium 2 (between 34000 kg to 136000 kg),-3.560927997935902,40.49942275225106,-3.5603485107421875,40.49948501586914,Y1,False,18L/36R,2024-11-07,6
347648,2024-11-07 06:08:42.391,2024-11-07 06:08:49.206,2024-11-07 06:10:15.226,92.835,Medium 2 (between 34000 kg to 136000 kg),-3.576002987948331,40.491811461367845,-3.5755972428755327,40.49198603225967,Z2,False,18R/36L,2024-11-07,6
344297,2024-11-07 06:15:42.686,2024-11-07 06:15:48.782,2024-11-07 06:16:34.945,52.259,Medium 2 (between 34000 kg to 136000 kg),-3.560927997935902,40.4994111141916,-3.5603485107421875,40.49949645996094,Y1,False,18L/36R,2024-11-07,6
347288,2024-11-07 06:15:18.158,2024-11-07 06:15:55.596,2024-11-07 06:17:09.052,110.894,Medium 2 (between 34000 kg to 136000 kg),-3.5729286887428975,40.4918230994273,-3.573584123091264,40.4918230994273,Z3,False,18R/36L,2024-11-07,6
344341,2024-11-07 06:16:46.245,2024-11-07 06:17:00.303,2024-11-07 06:18:54.837,128.592,Medium 2 (between 34000 kg to 136000 kg),-3.57611083984375,40.491737365722656,-3.5756284540349785,40.49197439420021,Z2,False,18R/36L,2024-11-07,6
