ICAO,ultimo_parado,despegue,tiempo_espera,aircraft_type,lat,lon,holding_point,fecha_despegue,hora_despegue,runway
347588,2024-12-04 11:23:30.611,2024-12-04 11:26:44.355,193.744,Medium 2 (between 34000 kg to 136000 kg),40.49752574855998,-3.5746453025124287,Z4,2024-12-04,11,18R/36L
347588,2024-12-05 16:03:15.907,2024-12-05 16:04:59.486,103.579,Medium 2 (between 34000 kg to 136000 kg),40.50630084538864,-3.5592113841663706,Y2,2024-12-05,16,18L/36R
347588,2024-12-06 06:28:29.181,2024-12-06 06:30:12.153,102.972,Medium 2 (between 34000 kg to 136000 kg),40.504966735839844,-3.5592193603515625,Y1,2024-12-06,6,18L/36R
347588,2024-12-06 11:26:58.183,2024-12-06 11:28:41.991,103.808,Medium 2 (between 34000 kg to 136000 kg),40.49837532690016,-3.5746453025124287,Z4,2024-12-06,11,18R/36L
347588,2024-12-07 15:31:50.377,2024-12-07 15:33:50.368,119.991,Medium 2 (between 34000 kg to 136000 kg),40.498712830624335,-3.5746453025124287,Z4,2024-12-07,15,18R/36L
342091,2024-12-01 06:23:00.468,2024-12-01 06:25:02.826,122.358,Medium 2 (between 34000 kg to 136000 kg),40.49781670004634,-3.5746453025124287,Z4,2024-12-01,6,18R/36L
342091,2024-12-01 11:42:35.927,2024-12-01 11:43:39.515,63.588,Medium 2 (between 34000 kg to 136000 kg),40.50499738272974,-3.5592269897460938,Y1,2024-12-01,11,18L/36R
342091,2024-12-02 12:32:38.748,2024-12-02 12:34:29.972,111.224,Medium 2 (between 34000 kg to 136000 kg),40.49161148071289,-3.554473876953125,K2,2024-12-02,12,14L/32R
342091,2024-12-03 14:57:24.528,2024-12-03 14:59:57.850,153.322,Medium 2 (between 34000 kg to 136000 kg),40.498146057128906,-3.5746612548828125,Z4,2024-12-03,14,18R/36L
342091,2024-12-05 06:36:42.529,2024-12-05 06:38:20.129,97.6,Medium 2 (between 34000 kg to 136000 kg),40.497779846191406,-3.57464599609375,Z4,2024-12-05,6,18R/36L
342091,2024-12-05 20:07:11.215,2024-12-05 20:08:48.769,97.554,Medium 2 (between 34000 kg to 136000 kg),40.49798583984375,-3.574676513671875,Z4,2024-12-05,20,18R/36L
342091,2024-12-07 08:26:49.558,2024-12-07 08:28:02.406,72.848,Medium 2 (between 34000 kg to 136000 kg),40.50523014391883,-3.5591957785866475,Y1,2024-12-07,8,18L/36R
3451cf,2024-12-01 16:08:03.868,2024-12-01 16:10:36.353,152.485,Heavy (larger than 136000 kg),40.49908447265625,-3.5746612548828125,Z2,2024-12-01,16,18R/36L
3451cf,2024-12-04 14:47:40.504,2024-12-04 14:53:17.819,337.315,Heavy (larger than 136000 kg),40.49787139892578,-3.57464599609375,Z2,2024-12-04,14,18R/36L
3451cf,2024-12-05 15:12:32.748,2024-12-05 15:14:52.329,139.581,Heavy (larger than 136000 kg),40.49856153585143,-3.5746453025124287,Z2,2024-12-05,15,18R/36L
3451cf,2024-12-07 14:58:13.695,2024-12-07 15:01:37.611,203.916,Heavy (larger than 136000 kg),40.498477935791016,-3.5746612548828125,Z2,2024-12-07,15,18R/36L
347259,2024-12-03 11:06:19.785,2024-12-03 11:08:22.818,123.033,Heavy (larger than 136000 kg),40.49907361046743,-3.574660908092152,Z3,2024-12-03,11,18R/36L
347259,2024-12-05 11:51:03.487,2024-12-05 11:52:25.307,81.82,Heavy (larger than 136000 kg),40.49895722987288,-3.574660908092152,Z3,2024-12-05,11,18R/36L
347259,2024-12-06 11:28:07.785,2024-12-06 11:30:11.399,123.614,Heavy (larger than 136000 kg),40.4990037821107,-3.5746453025124287,Z3,2024-12-06,11,18R/36L
4cadfe,2024-12-01 18:02:39.627,2024-12-01 18:04:42.662,123.035,Medium 2 (between 34000 kg to 136000 kg),40.497327901549255,-3.5746453025124287,Z2,2024-12-01,18,18R/36L
4cadfe,2024-12-02 06:24:27.756,2024-12-02 06:25:56.402,88.646,Medium 2 (between 34000 kg to 136000 kg),40.49766540527344,-3.5746453025124287,Z2,2024-12-02,6,18R/36L
39bdac,2024-12-02 09:40:03.252,2024-12-02 09:41:06.802,63.55,Medium 2 (between 34000 kg to 136000 kg),40.48992919921875,-3.55279541015625,K1,2024-12-02,9,14L/32R
4cadf0,2024-12-02 08:40:05.222,2024-12-02 08:42:46.269,161.047,Medium 2 (between 34000 kg to 136000 kg),40.5058708190918,-3.5592193603515625,Y1,2024-12-02,8,18L/36R
347459,2024-12-07 16:14:03.550,2024-12-07 16:16:15.134,131.584,Heavy (larger than 136000 kg),40.49813461303711,-3.5746612548828125,Z1,2024-12-07,16,18R/36L
440cf8,2024-12-03 14:20:01.850,2024-12-03 14:21:43.230,101.38,Medium 2 (between 34000 kg to 136000 kg),40.4974250793457,-3.5746612548828125,Z2,2024-12-03,14,18R/36L
4d2124,2024-12-05 12:16:14.748,2024-12-05 12:17:41.618,86.87,Medium 2 (between 34000 kg to 136000 kg),40.50570730435646,-3.5592113841663706,Y2,2024-12-05,12,18L/36R
4ca7b4,2024-12-01 08:17:31.940,2024-12-01 08:19:22.234,110.294,Medium 2 (between 34000 kg to 136000 kg),40.5062370300293,-3.5592193603515625,Y1,2024-12-01,8,18L/36R
78100a,2024-12-01 11:32:20.844,2024-12-01 11:33:57.573,96.729,Heavy (larger than 136000 kg),40.506743091647905,-3.5592269897460938,Y1,2024-12-01,11,18L/36R
34644c,2024-12-02 08:22:08.270,2024-12-02 08:23:45.392,97.122,Medium 2 (between 34000 kg to 136000 kg),40.49733352661133,-3.5746307373046875,Z1,2024-12-02,8,18R/36L
34644c,2024-12-05 05:34:32.444,2024-12-05 05:36:07.527,95.083,Medium 2 (between 34000 kg to 136000 kg),40.49803782317598,-3.5746453025124287,Z4,2024-12-05,5,18R/36L
34644c,2024-12-05 12:54:54.031,2024-12-05 12:56:52.269,118.238,Medium 2 (between 34000 kg to 136000 kg),40.4989128112793,-3.57464599609375,Z4,2024-12-05,12,18R/36L
06a2f2,2024-12-07 21:10:20.045,2024-12-07 21:11:43.880,83.835,Heavy (larger than 136000 kg),40.50708059537209,-3.5592269897460938,Y3,2024-12-07,21,18L/36R
