icao,hour,day,on_ground_min,on_ground_max,ground,flying
4CAFD0,10,5,0.0,0.0,1.0,0.0
3C6745,10,5,0.0,0.0,1.0,0.0
3420CB,10,5,0.0,0.0,1.0,0.0
440219,10,5,0.0,0.0,1.0,0.0
40751B,10,5,0.0,0.0,1.0,0.0
8963DA,10,5,0.0,0.0,1.0,0.0
3444CC,10,5,0.0,0.0,1.0,0.0
3451D9,11,5,0.0,0.0,1.0,0.0
408032,11,5,0.0,0.0,1.0,0.0
40751B,11,5,0.0,0.0,1.0,0.0
346499,11,5,0.0,0.0,1.0,0.0
407CB2,11,5,0.0,0.0,1.0,0.0
3431C9,11,5,0.0,0.0,1.0,0.0
342189,18,3,0.0,0.0,1.0,0.0
407F61,18,3,0.0,0.0,1.0,0.0
4CAE52,18,3,0.0,0.0,1.0,0.0
3473D3,18,3,0.0,0.0,1.0,0.0
4009F9,18,3,0.0,0.0,1.0,0.0
4ACA06,18,3,0.0,0.0,1.0,0.0
3C7439,18,3,0.0,0.0,1.0,0.0
3C0AC7,19,3,0.0,0.0,1.0,0.0
342353,19,3,1.0,1.0,0.0,1.0
02019C,19,3,0.0,0.0,1.0,0.0
020176,19,3,0.0,0.0,1.0,0.0
020177,19,3,0.0,0.0,1.0,0.0
4D2535,19,3,0.0,0.0,1.0,0.0
407573,19,3,0.0,0.0,1.0,0.0
738055,19,3,0.0,0.0,1.0,0.0
3444CC,19,3,0.0,0.0,1.0,0.0
020175,19,3,0.0,0.0,1.0,0.0
345207,20,3,0.0,0.0,1.0,0.0
3475DA,20,3,0.0,0.0,1.0,0.0
4AC9C6,20,3,0.0,0.0,1.0,0.0
34745A,21,3,0.0,0.0,1.0,0.0
3472CC,21,3,0.0,0.0,1.0,0.0
342353,21,3,1.0,1.0,0.0,1.0
4CA63B,21,3,0.0,0.0,1.0,0.0
4D2387,21,3,0.0,0.0,1.0,0.0
347501,22,3,0.0,0.0,1.0,0.0
34604E,13,4,0.0,0.0,1.0,0.0
4951D9,13,4,0.0,0.0,1.0,0.0
3CD70E,13,4,0.0,0.0,1.0,0.0
4D222B,13,4,0.0,0.0,1.0,0.0
3944F3,13,4,0.0,0.0,1.0,0.0
AAA6E4,13,4,0.0,0.0,1.0,0.0
40697C,13,4,0.0,0.0,1.0,0.0
4CAE8D,13,4,0.0,0.0,1.0,0.0
342397,14,4,0.0,0.0,1.0,0.0
02013A,14,4,0.0,0.0,1.0,0.0
3C6472,14,4,0.0,0.0,1.0,0.0
346083,14,4,0.0,0.0,1.0,0.0
34750B,14,4,0.0,0.0,1.0,0.0
495145,14,4,0.0,0.0,1.0,0.0
4D223A,14,4,0.0,0.0,1.0,0.0
4CA703,15,4,0.0,0.0,1.0,0.0
34554F,15,4,0.0,0.0,1.0,0.0
345688,15,4,0.0,0.0,1.0,0.0
343159,15,4,0.0,0.0,1.0,0.0
4CAD3B,15,4,0.0,0.0,1.0,0.0
02007D,15,4,0.0,0.0,1.0,0.0
345581,15,4,0.0,0.0,1.0,0.0
34754C,15,4,0.0,0.0,1.0,0.0
4CADF6,15,4,0.0,0.0,1.0,0.0
3C64A5,16,4,0.0,0.0,1.0,0.0
3C5EEE,16,4,0.0,0.0,1.0,0.0
4D220C,16,4,0.0,0.0,1.0,0.0
471EFC,16,4,0.0,0.0,1.0,0.0
34568C,16,4,0.0,0.0,1.0,0.0
02007A,16,4,0.0,0.0,1.0,0.0
34510A,16,4,0.0,0.0,1.0,0.0
4B1698,16,4,0.0,0.0,1.0,0.0
347344,16,4,0.0,0.0,1.0,0.0
344216,12,2,0.0,0.0,1.0,0.0
43C5DB,12,2,0.0,0.0,1.0,0.0
34754C,12,2,0.0,0.0,1.0,0.0
4B1807,12,2,0.0,0.0,1.0,0.0
