ts_kafka,velocity,lat,lon,icao,ground,direccion
1733028632375,,,,342344,,
1733028932187,,,,342344,,
1733029232375,,,,342344,,
1733029533394,,,,342344,,
1733029834338,,,,342344,,
1733030134140,,,,342344,,
1733030435205,,,,342344,,
1733030735213,,,,342344,,
1733031036174,,,,342344,,
1733031336306,,,,342344,,
1733031637224,,,,342344,,
1733031937247,,,,342344,,
1733032238223,,,,342344,,
1733032538199,,,,342344,,
1733032838220,,,,342344,,
1733033139176,,,,342344,,
1733033439175,,,,342344,,
1733033740174,,,,342344,,
1733034040166,,,,342344,,
1733034341178,,,,342344,,
1733034642200,,,,342344,,
1733034943215,,,,342344,,
1733035243134,,,,342344,,
1733035544145,,,,342344,,
1733035845161,,,,342344,,
1733036145172,,,,342344,,
1733036446130,,,,342344,,
1733036747199,,,,342344,,
1733037046215,,,,342344,,
1733037347125,,,,342344,,
1733037599161,,,,342344,,
1733011500266,,,,342345,,
1733011800361,,,,342345,,
1733012100473,,,,342345,,
1733012401264,,,,342345,,
1733012701327,,,,342345,,
1733013002459,,,,342345,,
1733013303215,,,,342345,,
1733013604353,,,,342345,,
1733013905218,,,,342345,,
1733014206262,,,,342345,,
1733014506174,,,,342345,,
1733014807150,,,,342345,,
1733015108369,,,,342345,,
1733015408433,,,,342345,,
1733015709482,,,,342345,,
1733016010285,,,,342345,,
1733016310596,,,,342345,,
1733016611158,,,,342345,,
1733016911485,,,,342345,,
1733017211535,,,,342345,,
1733017512420,,,,342345,,
1733017813262,,,,342345,,
1733018114260,,,,342345,,
1733018414598,,,,342345,,
1733018715481,,,,342345,,
1733019016393,,,,342345,,
1733019316630,,,,342345,,
1733019617225,,,,342345,,
1733019917410,,,,342345,,
1733020218296,,,,342345,,
1733020518473,,,,342345,,
1733020819341,,,,342345,,
1733021119443,,,,342345,,
1733021419327,,,,342345,,
1733021719365,,,,342345,,
1733022020286,,,,342345,,
1733022321282,,,,342345,,
1733022622183,,,,342345,,
1733022922269,,,,342345,,
1733023222601,,,,342345,,
1733023523431,,,,342345,,
1733023824414,,,,342345,,
1733024124533,,,,342345,,
1733024424590,,,,342345,,
1733024725538,,,,342345,,
1733025025300,,,,342345,,
1733025326248,,,,342345,,
1733025626177,,,,342345,,
1733025927359,,,,342345,,
1733026228292,,,,342345,,
1733026529161,,,,342345,,
1733026829253,,,,342345,,
1733027130163,,,,342345,,
1733027430344,,,,342345,,
1733027730299,,,,342345,,
1733028031185,,,,342345,,
1733028331412,,,,342345,,
1733028632379,,,,342345,,
1733028933199,,,,342345,,
1733029234403,,,,342345,,
1733029534419,,,,342345,,
1733029834345,,,,342345,,
1733030135257,,,,342345,,
1733030435205,,,,342345,,
1733030735214,,,,342345,,
1733031034436,,,,342345,,
1733031335291,,,,342345,,
1733031636204,,,,342345,,
1733031937247,,,,342345,,
1733032238223,,,,342345,,
1733032539218,,,,342345,,
1733032839238,,,,342345,,
1733033140192,,,,342345,,
1733033440296,,,,342345,,
1733033742217,,,,342345,,
1733034043246,,,,342345,,
1733034344253,,,,342345,,
1733034645278,,,,342345,,
1733034946204,,,,342345,,
1733035247179,,,,342345,,
1733035547236,,,,342345,,
1733035848261,,,,342345,,
1733036148266,,,,342345,,
1733036448199,,,,342345,,
1733036749172,,,,342345,,
1733037049224,,,,342345,,
1733037351247,,,,342345,,
1733037599198,,,,342345,,
1733011500464,,,,34234b,,
1733011800367,,,,34234b,,
1733012101484,,,,34234b,,
1733012402477,,,,34234b,,
1733012703454,,,,34234b,,
1733013004591,,,,34234b,,
1733013303616,,,,34234b,,
1733013604751,,,,34234b,,
1733013905523,,,,34234b,,
1733014207679,,,,34234b,,
1733014508405,,,,34234b,,
